skill_match,distance_km,rating,experience_years,hourly_rate,is_available,is_verified,completed_jobs,acceptance_rate,completion_rate,customer_previous_jobs,label
0.3745401188473625,4.057628098718933,3.434102046166746,9.993404874581069,1121.9976353859583,1,1,332,0.7882373430422309,0.7055272602900493,7,1
0.9507143064099162,4.839669461875211,3.332280240578508,14.934935450251885,358.3167938381962,1,1,90,0.9768575442263752,0.9081498242212567,3,1
0.7319939418114051,8.574564453381367,2.94038478125715,11.253335613126662,585.2955721178407,1,0,165,0.2845070899630103,0.8538616787552684,0,1
0.5986584841970366,3.5320429833869436,4.01816667525372,1.6660516622359278,1028.5928916009457,0,1,160,0.4239322884292362,0.9759277366002206,8,0
0.15601864044243652,8.722566911159278,3.6915604012715724,3.711604735671108,774.9250823342719,0,1,5,0.4025946310329433,0.718035317079364,2,0
0.15599452033620265,1.0637174235715767,4.664252480810009,4.386563680618383,1133.9994540888513,0,0,140,0.257610126767442,0.7889271564881384,5,0
0.05808361216819946,7.8126246846445815,2.580273951205146,5.157285072896897,1445.6910617120036,1,1,204,0.9777812783771647,0.902354381170082,9,0
0.8661761457749352,8.505966803936417,4.109669818887816,11.308067839010086,263.1653628012765,1,0,460,0.2479792693175151,0.8879947113776876,7,1
0.6011150117432088,1.9818129978059198,4.407372196278903,10.07931559650787,1093.3948029572853,0,0,19,0.8853511231954638,0.8031051494183641,4,1
0.7080725777960455,4.417396017247564,4.398716422970768,4.063200767284179,422.4818178849603,0,0,99,0.8145291396614713,0.6501793465617824,6,1
0.020584494295802447,1.821897791703825,4.715184917738813,1.3510968691137415,680.2674183705969,0,0,164,0.5006936699771676,0.49124482176151013,9,0
0.9699098521619943,7.124720464143334,4.322584357073735,3.4286440894943615,146.00781611319576,1,0,44,0.2150458901038392,0.9140510277547842,8,1
0.8324426408004217,5.446408127004236,4.8195251541192405,19.687626252372066,290.2703352097785,0,0,456,0.2048767239854956,0.8436588095661135,0,1
0.21233911067827616,6.426168797741546,3.3316414995522288,9.370938995829444,547.6882046684595,1,1,336,0.3631950725551386,0.8865348663709354,7,1
0.18182496720710062,2.1255722761708693,3.758023541878858,17.34691009404225,578.780127403179,1,0,226,0.5951012640270346,0.3985525227030429,1,1
0.18340450985343382,2.2751094481137115,2.535199158207227,16.975049333376866,1359.4193030469341,0,1,314,0.5663279825481211,0.5203690147324922,0,0
0.3042422429595377,0.6066737899970824,2.517393968258228,10.230391149257475,1138.5380729731212,1,0,51,0.668234061251942,0.5974195265297557,3,0
0.5247564316322378,3.356261844918152,3.1003165511288,14.13375416921087,1461.0561554618575,1,0,145,0.8175674477286097,0.8868463806103923,5,1
0.43194501864211576,5.685497681070015,2.7520179928477133,3.8550402082542456,938.7001144693368,1,1,280,0.5018836918881646,0.9250206709002589,7,0
